State,Median Household Income,"Poverty Estimate, Age 0-17","Poverty Estimate, All Ages","Poverty Percent, Age 0-17","Poverty Percent, All Ages"
AK,72.2745806451613,42918.0,137428.0,16.161290322580644,12.2
AL,47.94514705882353,445866.0,1429138.0,25.208823529411767,17.55735294117647
AR,45.76913157894737,285709.0,897332.0,25.11973684210526,17.83421052631579
AZ,54.33825,567333.0,1865108.0,21.6625,16.06875
CA,74.26118644067796,2520287.0,8838334.0,15.366101694915255,12.26271186440678
CO,65.73998461538461,259673.0,1022695.0,14.875384615384615,11.435384615384615
CT,80.536,167870.0,666870.0,10.422222222222222,8.977777777777778
DC,91.957,56840.0,203918.0,22.3,15.0
DE,69.46175,60760.0,208800.0,15.7,11.25
FL,56.67088235294118,1429688.0,5285285.0,21.17205882352941,14.75294117647059
GA,52.546775000000004,959140.0,2930653.0,25.785625,18.049375
HI,81.611,59363.0,242364.0,11.26,9.7
IA,61.35965,170376.0,627508.0,12.69,9.974
ID,57.91744444444444,102386.0,362393.0,15.002222222222223,11.453333333333333
IL,60.3861359223301,755356.0,2702310.0,15.227184466019418,11.571844660194175
IN,60.63912903225807,457664.0,1520337.0,14.435483870967742,10.950537634408603
KS,57.035726415094345,176984.0,601861.0,14.8688679245283,11.274528301886791
KY,48.79452892561984,379390.0,1294313.0,24.292561983471074,17.968595041322313
LA,48.5806923076923,516413.0,1604076.0,27.96,20.170769230769228
MA,82.1956,286398.0,1257796.0,11.1,9.3
MD,82.0236,293260.0,1067122.0,13.436,10.196
ME,56.68270588235294,61224.0,279229.0,14.652941176470588,11.452941176470588
MI,56.02591666666666,699692.0,2465895.0,17.598809523809525,12.457142857142859
MN,65.99478409090909,242032.0,916603.0,10.64090909090909,8.702272727272726
MO,51.426620689655174,416820.0,1450233.0,20.274137931034485,14.677586206896551
MS,43.90918072289156,351995.0,1073070.0,29.926506024096387,21.426506024096387
MT,53.37156140350877,65898.0,261422.0,18.303508771929824,14.222807017543861
NC,53.330069306930696,809456.0,2659373.0,22.134653465346535,15.261386138613862
ND,60.68153703703703,38940.0,151562.0,14.079629629629629,11.053703703703704
NE,57.66852127659575,94129.0,345241.0,13.535106382978723,10.335106382978724
NH,74.48227272727273,41452.0,184808.0,10.036363636363637,7.990909090909091
NJ,85.51045454545455,477889.0,1636779.0,12.140909090909092,9.227272727272727
NM,48.409,199152.0,692909.0,25.54705882352941,18.49705882352941
NV,64.49938888888889,228746.0,773634.0,15.016666666666667,11.827777777777778
NY,65.33947619047619,1306599.0,4802283.0,16.252380952380953,11.91904761904762
OH,59.5490786516854,834663.0,2856442.0,16.014606741573033,11.940449438202247
OK,50.75775641025641,346808.0,1104335.0,20.76025641025641,15.637179487179488
OR,60.33378378378378,204905.0,915883.0,15.527027027027026,12.36216216216216
PA,59.81875,735608.0,2691953.0,15.257352941176471,11.25294117647059
RI,80.63633333333333,57904.0,216612.0,12.033333333333333,9.333333333333334
SC,51.10302127659575,411552.0,1406007.0,23.965957446808513,16.81063829787234
SD,54.13959701492537,59510.0,199809.0,18.994029850746266,15.049253731343283
TN,51.88226041666667,544677.0,1822195.0,20.913541666666667,15.179166666666667
TX,57.32559215686275,2747293.0,7725431.0,20.969019607843137,14.532549019607844
US,67.34,11204423.0,38371394.0,15.7,11.9
UT,68.47516666666667,137801.0,469333.0,11.479999999999999,9.08
VA,64.89569402985074,447235.0,1538958.0,16.82910447761194,12.217164179104477
VT,64.01413333333333,22121.0,112561.0,11.233333333333333,9.66
WA,65.17915,358135.0,1429308.0,15.2125,11.9075
WI,62.543082191780826,305192.0,1142093.0,12.501369863013698,9.545205479452054
WV,47.57123214285714,140802.0,548351.0,22.057142857142857,16.741071428571427
WY,65.54616666666666,26926.0,104838.0,10.966666666666667,9.520833333333334
