Year,Democratic,Libertarian,Other,Republican
1976,40680446,95626,1954379,38870893
1980,35480948,867401,6505863,43642639
1984,37449813,227204,811015,54166829
1988,41716679,409708,817798,48642640
1992,44856747,280848,20663272,38798913
1996,47295351,465351,9625419,39003697
2000,50830580,380405,4071625,50311372
2004,58894561,369308,1212870,61872711
2008,69338846,510456,1956116,59613835
2012,65752017,1216400,1501463,60670117
2016,65677288,4125170,4292059,62692670
2020,81268908,1797355,1246094,74216146
