Election;Voting-age;Voting-eligible;Turnout[8];Turnout as %;Turnout as %
;population (VAP)[8];population (VEP)[8];;of VAP[8];of VEP[8][9]
1932;75,768,000;—;39,816,522;52.6%;—
1936;80,174,000;—;45,646,817;56.9%;—
1940;84,728,000;—;49,815,312;58.8%;—
1944;85,654,000;—;48,025,684;56.1%;—
1948;95,573,000;—;48,833,680;51.1%;—
1952;99,929,000;—;61,551,919;61.6%;—
1956;104,515,000;—;62,027,040;59.3%;—
1960;109,672,000;—;68,836,385;62.8%;—
1964;114,090,000;—;70,097,935;61.4%;—
1968;120,285,000;—;73,026,831;60.7%;—
1972;140,777,000;—;77,625,152;55.1%;—
1976;152,308,000;—;81,603,346;53.6%;—
1980;163,945,000;159,635,102;86,496,851;52.8%;54.2%
1984;173,995,000;167,701,904;92,654,861;53.3%;55.2%
1988;181,956,000;173,579,281;91,586,725;50.3%;52.8%
1992;189,493,000;179,655,523;104,600,366;55.2%;58.2%
1996;196,789,000;186,347,044;96,389,818;49.0%;51.7%
2000;209,130,000;194,331,436;105,594,024;50.5%;54.3%
2004;219,508,000;203,483,455;122,349,480;55.7%;60.1%
2008;229,989,000;213,313,508;131,406,895;57.1%;61.6%
2012;240,177,000;222,474,111;129,139,997;53.8%;58.0%
2016;249,422,000;230,931,921;136,787,187;54.8%;59.2%
2020;252,274,000;240,628,443;158,427,986;62.8%;65.8%
2024* (estimated);264,798,961;244,666,890;156,252,813;59.00%;63.9%
